complex_id,cat,delta_asa,difficulty
2HRK,OX,1595,Medium difficulty
1LFD,OG,1167,Medium difficulty
2YVJ,ER,1377,Rigid-body
1BUH,EI,1324,Rigid-body
2J0T,EI,1477,Rigid-body
5GRJ,AA,1753,Rigid-body
3BIW,OX,1191,Rigid-body
3F1P,OX,1919,Difficult
3G6D,AA,1793,Medium difficulty
5X0T,AA,1316,Rigid-body
5WUX,AA,2073,Rigid-body
3RVW,AA,1383,Rigid-body
1IB1,OX,2808,Medium difficulty
3MXW,AA,1696,Rigid-body
3U7Y,AA,2544,Rigid-body
1S78,AA,2175,Rigid-body
1OYV,EI,1930,Rigid-body
1EER,OR,3347,Difficult
2BTF,OX,2063,Rigid-body
1IRA,OR,3367,Difficult
2HLE,OR,2116,Rigid-body
1T6B,OR,1948,Rigid-body
5KOV,AA,1735,Medium difficulty
2AJF,OR,1704,Rigid-body
4Y7M,AS,1103,Rigid-body
1HIA,EI,1737,Rigid-body
1BKD,OG,3163,Difficult
1EXB,OX,3558,Rigid-body
1D6R,EI,1408,Rigid-body
5E5M,AS,1341,Medium difficulty
2OOR,ER,2065,Rigid-body
7CEI,EI,1384,Rigid-body
2VDB,OX,1798,Rigid-body
1FAK,OR,3363,Difficult
1WEJ,AA,1177,Rigid-body
1ML0,OR,2069,Rigid-body
5VNW,AS,967,Medium difficulty
3P57,OX,1291,Rigid-body
1IBR,OG,2270,Difficult
2SIC,EI,1617,Rigid-body
1BVN,EI,2222,Rigid-body
1E6J,AA,1245,Rigid-body
2IDO,ES,1953,Difficult
4GAM,ER,6671,Difficult
2A5T,OX,1892,Rigid-body
4H03,ES,1474,Rigid-body
3BP8,OX,1391,Rigid-body
1XQS,OX,2350,Medium difficulty
2J7P,OX,3008,Difficult
3HI6,AA,1871,Medium difficulty
2MTA,ES,1461,Rigid-body
6EY6,AS,1807,Medium difficulty
1GL1,EI,1591,Rigid-body
1E96,OG,1179,Rigid-body
4POU,AS,1313,Medium difficulty
1RV6,OR,1626,Rigid-body
1AVX,EI,1585,Rigid-body
6CWG,AS,1151,Rigid-body
1TMQ,EI,2401,Rigid-body
1JMO,ER,3461,Difficult
5O1R,AA,1852,Rigid-body
1PPE,EI,1688,Rigid-body
1SBB,OR,1064,Rigid-body
1FQJ,OG,1806,Rigid-body
1EFN,OX,1254,Rigid-body
6B0S,AA,1353,Rigid-body
2OUL,EI,1933,Rigid-body
1YVB,EI,1743,Rigid-body
2B42,EI,2520,Rigid-body
1MQ8,OX,1253,Medium difficulty
2B4J,OX,1273,Rigid-body
3D5S,OX,1620,Rigid-body
1JIW,EI,1997,Medium difficulty
1OFU,OX,1583,Rigid-body
2I9B,OR,2371,Difficult
3H11,ER,3169,Difficult
1FCC,OX,1354,Rigid-body
3RJQ,AA,1734,Medium difficulty
4FP8,AA,1322,Rigid-body
2GTP,OG,1442,Rigid-body
1ZM4,ES,1554,Medium difficulty
1FQ1,ES,1832,Difficult
1RKE,OX,2614,Difficult
4M76,OR,1046,Rigid-body
2UUY,EI,1280,Rigid-body
3HMX,AA,1841,Rigid-body
1IJK,ER,1648,Medium difficulty
1JTG,EI,2600,Rigid-body
2A9K,ES,1751,Rigid-body
5HGG,AS,1969,Medium difficulty
3BX7,OX,2349,Medium difficulty
1DQJ,AA,1765,Rigid-body
1GXD,EI,2445,Rigid-body
2VIS,AA,1296,Rigid-body
2SNI,EI,1628,Rigid-body
3A4S,EI,1116,Rigid-body
4GXU,AA,1830,Rigid-body
1FC2,OX,1307,Medium difficulty
1ACB,EI,1544,Difficult
3H2V,OX,1263,Rigid-body
5CBA,AA,1790,Medium difficulty
6A0Z,AA,1661,Medium difficulty
5SV3,AS,1294,Rigid-body
1M10,ER,2097,Medium difficulty
2FJU,OG,1245,Rigid-body
1AHW,AA,1899,Rigid-body
1OC0,ER,1313,Rigid-body
2O3B,EI,1675,Difficult
1KXP,OX,3341,Rigid-body
1UDI,EI,2022,Rigid-body
3SGQ,EI,1211,Rigid-body
3VLB,EI,2020,Rigid-body
1JWH,ER,1452,Rigid-body
5WHK,AA,1850,Medium difficulty
2Z0E,ER,2478,Medium difficulty
2W9E,AA,1677,Rigid-body
3S9D,OR,1841,Medium difficulty
1AY7,EI,1237,Rigid-body
1F6M,ES,1821,Difficult
4FQI,AA,1459,Rigid-body
1Z5Y,ES,1346,Rigid-body
2FD6,AA,1139,Rigid-body
1GP2,OG,2287,Medium difficulty
1AZS,OG,1911,Rigid-body
3CPH,OG,1685,Medium difficulty
1MLC,AA,1392,Rigid-body
4G6M,AA,1673,Rigid-body
3FN1,ER,1897,Difficult
1EZU,EI,2751,Rigid-body
2HQS,OX,2333,Rigid-body
1FLE,EI,1763,Rigid-body
2NZ8,ER,2599,Medium difficulty
1N2C,OX,3635,Medium difficulty
3MJ9,AA,2457,Rigid-body
1F51,ER,2407,Rigid-body
2OOB,ES,808,Rigid-body
5WK3,AA,1222,Rigid-body
1KTZ,OR,989,Rigid-body
2AYO,ER,3027,Rigid-body
1Z0K,OG,1787,Rigid-body
1B6C,OX,1752,Medium difficulty
2FJG,AA,1678,Difficult
1JTD,EI,2180,Rigid-body
1HE8,OG,1305,Medium difficulty
3K75,ER,1195,Rigid-body
5O14,AA,1524,Rigid-body
1R8S,OG,2986,Difficult
1K74,OR,2200,Rigid-body
3V6Z,AA,1922,Medium difficulty
5HYS,AA,1332,Medium difficulty
1DE4,OX,2066,Difficult
1CGI,EI,2053,Medium difficulty
2CFH,OX,2384,Medium difficulty
1DFJ,EI,2582,Rigid-body
6DBG,AS,1525,Rigid-body
4HX3,EI,2086,Rigid-body
1ZHI,OX,1322,Rigid-body
1GRN,OG,2332,Medium difficulty
1H1V,OX,2071,Difficult
2VXT,AA,2163,Rigid-body
6A77,AA,1533,Rigid-body
1K5D,OG,2527,Medium difficulty
1I2M,OG,2779,Medium difficulty
1ZHH,OR,2189,Rigid-body
3DAW,OX,2323,Medium difficulty
2X9A,OR,1571,Rigid-body
1XU1,OR,1697,Rigid-body
4LW4,ES,1610,Medium difficulty
3EO1,AA,1630,Medium difficulty
1AK4,OX,1029,Rigid-body
1E6E,ES,2315,Rigid-body
2G77,OG,2524,Rigid-body
3SZK,OX,1263,Medium difficulty
4IZ7,EI,1202,Medium difficulty
1US7,ER,1095,Rigid-body
4DN4,AA,1317,Rigid-body
1VFB,AA,1383,Rigid-body
2H7V,OG,1574,Medium difficulty
4CPA,EI,1175,Rigid-body
1RLB,OX,1439,Rigid-body
3SE8,AA,2690,Rigid-body
3EOA,AA,1272,Rigid-body
1WDW,ER,3148,Rigid-body
2I25,AS,1425,Rigid-body
1GCQ,OX,1208,Rigid-body
1ZLI,EI,2084,Difficult
3L89,OR,2167,Difficult
1H9D,OX,2121,Rigid-body
1GHQ,OR,800,Rigid-body
5Y9J,AA,1976,Rigid-body
4ETQ,AA,2278,Medium difficulty
5JMO,AS,1394,Rigid-body
1GPW,OX,2097,Rigid-body
2C0L,OX,2013,Difficult
1NW9,ER,2112,Medium difficulty
1WQ1,OG,2913,Medium difficulty
1ATN,OX,1774,Difficult
5C7X,AA,2523,Difficult
1E4K,OR,1634,Difficult
2OT3,ER,2306,Difficult
1R6Q,ER,1651,Medium difficulty
1Y64,OX,2745,Difficult
3AAD,OX,1654,Difficult
1F34,EI,3038,Rigid-body
1MAH,EI,2145,Rigid-body
4DW2,AA,2038,Difficult
1S1Q,OX,1288,Rigid-body
1GLA,ER,1304,Rigid-body
1KLU,OX,1254,Rigid-body
6AL0,AA,1623,Medium difficulty
1KAC,OR,1456,Rigid-body
4G6J,AA,1893,Rigid-body
2GAF,ER,3368,Rigid-body
1PVH,OR,1403,Rigid-body
1OPH,EI,1360,Rigid-body
1J2J,OG,1209,Rigid-body
4FZA,ER,1695,Medium difficulty
2PCC,ES,1141,Rigid-body
4JCV,OX,1949,Medium difficulty
1JZD,ER,2026,Difficult
1I4D,OG,1657,Rigid-body
2DD8,AA,1710,Medium difficulty
3AAA,OX,1686,Medium difficulty
1QA9,OX,1353,Rigid-body
1M27,OX,799,Rigid-body
1KKL,ES,1641,Medium difficulty
1XD3,OX,2281,Rigid-body
1CLV,EI,2087,Rigid-body
1PXV,EI,2336,Difficult
6OC3,AA,1537,Rigid-body
3WD5,AA,2328,Rigid-body
4M5Z,AA,1591,Rigid-body
1HE1,OG,2113,Rigid-body
1EAW,EI,1866,Rigid-body
1AKJ,OX,1995,Rigid-body
3L5W,AA,1138,Medium difficulty
2O8V,ES,1619,Rigid-body
3PC8,ER,1240,Rigid-body
1JPS,AA,1852,Rigid-body
4M3K,AS,1588,Medium difficulty
1HCF,OR,2136,Rigid-body
1A2K,OG,1603,Rigid-body
6BPC,AA,1645,Rigid-body
1FFW,OX,1166,Rigid-body
1SYX,OX,1293,Medium difficulty
2A1A,ES,1186,Rigid-body
3R9A,OR,1926,Medium difficulty
3LVK,ER,1609,Rigid-body
2OZA,OX,6248,Medium difficulty
1R0R,EI,1409,Rigid-body
2ABZ,EI,1443,Rigid-body
1JK9,ES,2130,Difficult
1EWY,ES,1502,Rigid-body
