target_id,total_models,incorrect,acceptable,medium,high
T151.2,1152,1146,5,1,0
T140.1,1730,1078,88,563,1
T121.1,1231,1145,81,5,0
T091.1,798,468,110,220,0
T085.1,910,625,76,209,0
T029.1,2187,2020,87,78,2
T086.2,1010,985,17,8,0
T037.2,1700,1650,24,23,3
T149.3,219,209,10,0,0
T081.1,640,546,49,45,0
T165.1,1205,1201,4,0,0
T150.3,210,204,5,1,0
T141.1,1706,1674,30,1,0
T087.1,894,597,124,173,0
T047.1,1051,440,26,307,278
T153.1,1967,1240,89,335,303
T152.1,1895,1180,220,226,269
T149.1,222,124,8,57,33
T136.3,288,114,142,32,0
T150.2,210,205,3,2,0
T104.1,1010,494,9,333,174
T092.1,779,542,192,45,0
T125.4,2043,2039,4,0,0
T149.2,222,216,5,1,0
T080.1,910,642,55,213,0
T037.1,1700,1651,18,23,8
T119.1,400,307,93,0,0
T159.6,745,250,124,371,0
T180.1,885,881,4,0,0
T069.1,1000,762,111,127,0
T089.1,790,499,74,182,35
T090.1,810,518,91,201,0
T144.1,1700,998,273,429,0
T040.2,2180,1987,36,54,103
T122.1,2389,2252,122,7,0
T025.1,700,653,29,18,0
T040.1,2180,1785,153,152,90
T159.7,889,669,217,3,0
T142.1,1745,1581,84,77,3
T072.1,914,903,10,1,0
T075.1,913,676,80,157,0
T035.1,499,496,3,0,0
T030.1,1344,1342,2,0,0
T086.1,1010,979,26,5,0
T176.1,1464,1444,19,1,0
T158.1,1375,868,196,311,0
T149.5,202,196,6,0,0
T026.1,167,146,14,5,2
T136.1,288,35,17,236,0
T105.1,910,365,45,394,106
T041.1,1199,828,249,120,2
T050.1,1451,1318,97,36,0
T133.1,2593,2049,341,203,0
T093.1,696,442,56,198,0
T071.1,810,801,5,4,0
T125.1,2042,1594,114,230,104
T159.1,1047,123,355,569,0
T094.1,682,493,188,1,0
T079.1,999,975,17,7,0
T154.1,1991,1988,3,0,0
T138.2,1794,1792,2,0,0
T151.3,1274,1205,57,12,0
T073.1,820,805,15,0,0
T125.2,2065,261,83,304,1417
T125.3,2043,2028,14,1,0
T164.1,1639,1135,489,15,0
T123.1,2403,2402,1,0,0
T073.2,820,819,1,0,0
T136.2,288,71,121,96,0
T150.1,210,148,5,26,31
T143.1,1787,1058,85,436,208
T151.1,278,110,0,117,51
T053.1,1400,1270,113,17,0
T070.2,710,629,8,73,0
T180.2,885,522,140,218,5
T159.2,739,735,4,0,0
